SMILES,pIC50
CO[C@@H]1[C@@H](O[C@H]2O[C@H](C)[C@@H](O[C@H]3C[C@@](C)(O)[C@@H](OC(=O)CC(C)C)[C@H](C)O3)[C@@H]([C@H]2O)N(C)C)[C@@H](CC=O)C[C@@H](C)[C@@H](O)/C=C/C=C/C[C@@H](C)OC(=O)C[C@H]1C(=O)OC,6.922817499893094
ONC(=O)c1cn(nn1)-c1cccc(c1)C(=O)N1CCC2(CC1)N(CNC2=O)c1ccccc1,6.922503976754651
CO/N=C(\C(=O)N[C@H]1[C@H]2SCC(=C(N2C1=O)C(=O)O)CSC(=O)c1ccco1)c1csc(n1)N,6.922329128284393
Fc1ccc(cc1)OCCN1CCC(CC1)C(=O)N[C@@H](c1ccc(cc1)-c1ccccc1)c1cnccn1,6.9210384032545935
CC(C)N1C[C@H](C)[C@@H](CN(C)Cc2ccc(cc2)Oc2ccccc2)Oc2c(cccc2C1=O)NC(=O)C1CCNCC1,6.919527599523649
FC(F)(F)c1cc(cc(c1)C(F)(F)F)NC(=O)Nc1c(cc(cc1-c1nn[nH]n1)Br)Br,6.919179559501713
COc1ccc(cc1)C[C@H](N)C(=O)N[C@H]1[C@@H](O)[C@H](O[C@@H]1CO)n1cnc2c(ncnc12)N(C)C,6.91816072012752
[O-][N+](=O)c1cc(ccc1Cl)S(=O)(=O)Nc1ccc(cc1C(=O)Nc1cc(ccc1Cl)Cl)Cl,6.918019667203857
CO[C@H](CN(C)C(=O)C1CCOCC1)[C@@H](C)CN([C@H](C)CO)C(=O)Nc1ccc(cc1)C(F)(F)F,6.917282137213671
CC(C)(C)[S@@+]([O-])N1Cc2cc(nc(c2[C@H]1CCO[Si](C)(C)C(C)(C)C)-c1ccc(cc1)Br)C(=O)O,6.916010888187809
CC(=O)NC[C@H]1CN(C(=O)O1)c1ccc(c(c1)F)N1CCN(CC1)C(=O)CO,6.9158820390471725
FC(F)(F)CNC(=O)C1(CCCCN2CCC(CC2)NC(=O)c2ccccc2-c2ccc(cc2)C(F)(F)F)c2ccccc2-c2ccccc21,6.9155553064173585
CC[C@H]1OC(=O)C[C@@H](O)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)[C@@H](O)[C@@H]([C@H]2O)N(C)C)[C@@H](CCN2C[C@H](C)C[C@H](C)C2)C[C@@H](C)C(=O)/C=C/C(=C/[C@@H]1CO[C@@H]1O[C@H](C)[C@@H](O)[C@@H](OC)[C@H]1OC)C,6.9155257092436715
CN(C)C1CCN(CC1)C(=O)c1cnc(s1)-c1noc2cc(ccc12)-c1ccccc1C(F)(F)F,6.91519866572101
CN(C)[C@H]1[C@@H]2C[C@@H]3Cc4c(cc(c(c4C(=O)[C@H]3C(=O)[C@]2(O)C(=O)[C@H](C(=O)N)C1=O)O)NC(=O)CN1CCCC1)F,6.914873449760755
COc1ccc(cc1)/C=C/CN1CCC(CC1)C(=O)N[C@@H](c1ccc(cc1)-c1ccccc1)c1cnccn1,6.914613805433344
C[C@H]1CN([C@H](C)CO)S(=O)(=O)c2ccc(cc2O[C@H]1CN(C)C(=O)CN(C)C)C#Cc1ccccc1,6.914415082723355
C[C@@H]1CCCCO[C@H](CN(C)CC2CC2)[C@H](C)CN([C@H](C)CO)C(=O)c2cc(ccc2O1)NC(=O)Nc1ccc(cc1)C(F)(F)F,6.9142009383990075
Cc1cccnc1[C@@H](NC(=O)C1CCN(CCOc2ccc(cc2Cl)Cl)CC1)c1ccc(cc1)F,6.912074178448043
O[C@H]1COC[C@H]2O[C@@H](CC[C@@H]2N(C1)C(=O)Nc1cccc(c1)Cl)CC(=O)NCCCN1CCOCC1,6.912061856421419
CSc1c([nH]c2ccccc12)-c1ccc(cc1)Cl,6.911098395182521
CO/N=C(\C(=O)N[C@H]1[C@H]2SCC(=C(N2C1=O)C(=O)O)C[N+]1(C)CCCC1)c1csc(n1)N,6.910433212128272
O[C@H]1COC[C@H]2O[C@@H](CC[C@@H]2N(C1)C(=O)Nc1cccc(c1)Cl)CC(=O)NCc1ccccc1F,6.908393151513538
NC[C@@H]1O[C@@H](Cc2c(c(ccc21)O)O)C12CC3CC(CC(C3)C2)C1,6.907445264341189
C[C@@H]1CN([C@H](C)CO)C(=O)CCCn2nncc2CO[C@@H]1CN(C)C(=O)Nc1cccc(c1)C(F)(F)F,6.906832759841392
CCCC[P+](CCCC)(CCCC)Cc1ccc(cc1)NC(=O)[C@@H](Cc1ccc2ccccc2c1)N=C(NC1CCCCC1)NC1CCCCC1,6.906501542562312
C[C@@H]1CN([C@H](C)CO)C(=O)CCCn2nncc2CO[C@H]1CN(C)C(=O)Nc1cccc(c1)C(F)(F)F,6.905394631173599
COc1ccc2c3c([nH]c2c1)[C@@H](CO)N(C[C@]13CCN(CC1)CC1CCCCC1)C(=O)Nc1cccc(c1)F,6.905103537497675
O[C@H]1COC[C@H]2O[C@H](CC[C@@H]2N(C1)C(=O)Nc1ccc(cc1)C(F)(F)F)CC(=O)NCCc1ccncc1,6.903434800787413
OCCCC1=C[C@@H](C2CC2)N(Cc2cccc(c2)OC(F)(F)F)/C(=N\P(=O)(Oc2ccccc2)Oc2ccccc2)C1,6.902719521609066
CC[C@H]1OC(=O)C[C@@H](O)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@@H]([C@H]2O)N(C)C)[C@@H](CC=O)C[C@@H](C)C(=O)/C=C/[C@]2(C)O[C@H]2[C@@H]1C,6.902716741031858
